order delivery time,order id,customer order rating,type of issue reported,region
2014-06-01 20:31:03 UTC,233598201,5,,chi
2014-06-01 20:30:22 UTC,233598177,5,,chi
2014-06-01 20:28:12 UTC,233595935,5,,chi
2014-06-01 20:27:20 UTC,233598171,5,,chi
2014-06-01 20:26:05 UTC,233598102,5,,chi
2014-06-01 20:22:33 UTC,233597059,5,,chi
2014-06-01 20:19:09 UTC,233598125,5,,chi
2014-06-01 20:18:25 UTC,233598116,5,,chi
2014-06-01 20:17:49 UTC,233597801,5,,chi
2014-06-01 20:14:56 UTC,233596098,5,,chi
2014-06-01 20:13:06 UTC,233598102,5,,chi
2014-06-01 20:13:01 UTC,233598116,5,,chi
2014-06-01 20:10:56 UTC,233598055,5,,chi
2014-06-01 20:08:15 UTC,233595935,5,,chi
2014-06-01 20:04:15 UTC,233597938,5,,chi
2014-06-01 20:01:49 UTC,233598114,5,,chi
2014-06-01 19:57:37 UTC,233598044,5,,chi
2014-06-01 19:57:15 UTC,233598039,5,,chi
2014-06-01 19:54:31 UTC,233598058,5,,chi
2014-06-01 19:54:17 UTC,233598008,5,,chi
2014-06-01 19:49:56 UTC,233598157,5,,chi
2014-06-01 19:46:29 UTC,233598069,5,,chi
2014-06-01 19:44:28 UTC,233597987,5,,chi
2014-06-01 19:41:28 UTC,233597917,5,,chi
2014-06-01 19:35:40 UTC,233597938,5,,chi
2014-06-01 19:35:36 UTC,233598041,5,,chi
2014-06-01 19:34:53 UTC,233597837,5,,chi
2014-06-01 19:31:33 UTC,233597941,5,,chi
2014-06-01 19:25:58 UTC,233597857,5,,chi
2014-06-01 19:19:52 UTC,233597844,5,,chi
2014-06-01 19:19:26 UTC,233597875,5,,chi
2014-06-01 19:18:40 UTC,233597897,5,,chi
2014-06-01 19:17:59 UTC,233597599,5,,chi
2014-06-01 19:16:41 UTC,233597952,5,,chi
2014-06-01 19:12:32 UTC,233597943,5,,chi
2014-06-01 19:12:01 UTC,233598021,5,,chi
2014-06-01 19:10:34 UTC,233597927,5,,chi
2014-06-01 18:59:16 UTC,233597687,5,,chi
2014-06-01 18:57:38 UTC,233597775,5,,chi
2014-06-01 18:57:27 UTC,233597779,5,,chi
2014-06-01 18:56:18 UTC,233597753,5,,chi
2014-06-01 18:52:36 UTC,233597876,5,,chi
2014-06-01 18:48:29 UTC,233596917,5,,chi
2014-06-01 18:48:23 UTC,233597788,5,,chi
2014-06-01 18:45:46 UTC,233597356,5,,chi
2014-06-01 18:43:46 UTC,233597672,5,,chi
2014-06-01 18:43:41 UTC,233597841,5,,chi
2014-06-01 18:42:55 UTC,233597014,5,,chi
2014-06-01 18:42:37 UTC,233597880,5,,chi
2014-06-01 18:42:35 UTC,233597660,5,,chi
2014-06-01 18:39:52 UTC,233597819,5,,chi
2014-06-01 18:36:52 UTC,233597807,5,,chi
2014-06-01 18:36:27 UTC,233597779,5,,chi
2014-06-01 18:35:05 UTC,233597788,5,,chi
2014-06-01 18:34:29 UTC,233597965,5,,chi
2014-06-01 18:33:14 UTC,233597797,5,,chi
2014-06-01 18:28:17 UTC,233597855,5,,chi
2014-06-01 18:27:30 UTC,233597174,5,,chi
2014-06-01 18:25:58 UTC,233596701,5,,chi
2014-06-01 18:25:27 UTC,233597822,5,,chi
2014-06-01 18:23:20 UTC,233597716,5,,chi
2014-06-01 18:23:10 UTC,233597707,5,,chi
2014-06-01 18:20:04 UTC,233597766,5,,chi
2014-06-01 18:18:12 UTC,233597788,5,,chi
2014-06-01 18:15:19 UTC,233597655,5,,chi
2014-06-01 18:09:52 UTC,233597668,5,,chi
2014-06-01 18:09:23 UTC,233597599,5,,chi
2014-06-01 18:03:30 UTC,233597718,5,,chi
2014-06-01 18:00:05 UTC,233597693,5,,chi
2014-06-01 17:55:45 UTC,233597543,5,,chi
2014-06-01 17:46:09 UTC,233597753,5,,chi
2014-06-01 17:46:03 UTC,233597551,5,,chi
2014-06-01 17:44:50 UTC,233597808,5,,chi
2014-06-01 17:41:21 UTC,233597767,5,,chi
2014-06-01 17:35:49 UTC,233597532,5,,chi
2014-06-01 17:35:06 UTC,233597743,5,,chi
2014-06-01 17:32:34 UTC,233597741,5,,chi
2014-06-01 17:32:13 UTC,233597805,5,,chi
2014-06-01 17:24:55 UTC,233597308,5,Wrong item,chi
2014-06-01 17:23:58 UTC,233597685,5,,chi
2014-06-01 17:23:48 UTC,233597519,5,,chi
2014-06-01 17:20:56 UTC,233597283,5,,chi
2014-06-01 17:20:51 UTC,233596308,5,,chi
2014-06-01 17:20:09 UTC,233597607,5,,chi
2014-06-01 17:18:48 UTC,233597610,5,,chi
2014-06-01 17:18:29 UTC,233597378,5,,chi
2014-06-01 17:17:55 UTC,233597654,5,,chi
2014-06-01 17:14:50 UTC,233597248,5,,chi
2014-06-01 17:14:41 UTC,233597647,5,,chi
2014-06-01 17:14:33 UTC,233597585,5,,chi
2014-06-01 17:10:47 UTC,233597513,5,,chi
2014-06-01 17:10:28 UTC,233597595,5,,chi
2014-06-01 17:10:20 UTC,233596310,5,,chi
2014-06-01 17:08:11 UTC,233597536,5,,chi
2014-06-01 17:05:52 UTC,233597673,5,,chi
2014-06-01 17:04:25 UTC,233592943,5,,chi
2014-06-01 17:01:53 UTC,233596310,5,Damaged or spoiled,chi
2014-06-01 16:58:17 UTC,233597432,5,Wrong item,chi
2014-06-01 16:55:58 UTC,233595731,5,,chi
2014-06-01 16:48:34 UTC,233597541,5,,chi
2014-06-01 16:45:56 UTC,233597621,5,,chi
2014-06-01 16:44:34 UTC,233597577,5,,chi
2014-06-01 16:33:25 UTC,233597667,5,,chi
2014-06-01 16:32:42 UTC,233597559,5,,chi
2014-06-01 16:28:27 UTC,233597498,5,,chi
2014-06-01 16:16:40 UTC,233596308,5,,chi
2014-06-01 16:09:11 UTC,233597438,5,,chi
2014-06-01 16:06:32 UTC,233595731,5,,chi
2014-06-01 16:01:18 UTC,233597584,5,,chi
2014-06-01 15:57:25 UTC,233597439,5,,chi
2014-06-01 15:51:41 UTC,233597470,5,,chi
2014-06-01 15:50:02 UTC,233597035,5,,chi
2014-06-01 15:47:31 UTC,233597459,5,,chi
2014-06-01 15:45:39 UTC,233592943,5,,chi
2014-06-01 15:38:31 UTC,233596571,5,,chi
2014-06-01 15:38:18 UTC,233597448,5,,chi
2014-06-01 15:38:09 UTC,233597451,5,,chi
2014-06-01 15:36:38 UTC,233597442,5,,chi
2014-06-01 15:33:17 UTC,233597470,5,,chi
2014-06-01 15:19:09 UTC,233597490,5,,chi
2014-06-01 15:15:32 UTC,233597483,5,,chi
2014-06-01 15:09:38 UTC,233596651,5,,chi
2014-06-01 15:07:11 UTC,233597390,5,,chi
2014-06-01 14:57:45 UTC,233597496,5,,chi
2014-06-01 14:52:14 UTC,233597520,5,,chi
2014-06-01 14:27:13 UTC,233596536,5,,chi
2014-06-01 14:03:55 UTC,233596578,5,,chi
2014-06-01 13:59:11 UTC,233596873,5,,chi
2014-06-01 02:56:33 UTC,233597230,5,,chi
2014-06-01 02:54:36 UTC,233597246,5,,chi
2014-06-01 02:34:01 UTC,233597185,5,,chi
2014-06-01 02:21:49 UTC,233597177,5,,chi
2014-06-01 02:20:10 UTC,233597184,5,,chi
2014-06-01 02:17:35 UTC,233597235,5,,chi
2014-06-01 02:15:44 UTC,233597130,5,,chi
2014-06-01 01:54:22 UTC,233597182,5,,chi
2014-06-01 01:42:56 UTC,233597141,5,,chi
2014-06-01 01:37:08 UTC,233597048,5,,chi
2014-06-01 01:33:23 UTC,233597171,5,,chi
2014-06-01 01:02:26 UTC,233597088,5,,chi
2014-06-01 00:56:33 UTC,233597056,5,,chi
2014-06-01 00:54:02 UTC,233597100,5,,chi
2014-06-01 00:47:18 UTC,233597070,5,,chi
2014-06-01 00:34:29 UTC,233597036,5,,chi
2014-06-01 00:26:55 UTC,233596985,5,,chi
