Cohort month,Cohort size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
6/1/13,1766,76%,78%,67%,67%,59%,60%,53%,49%,48%,48%,45%,46%,43%,44%,42%,43%,41%,41%,40%,40%,39%,38%,37%,37%,35%,36%,36%,36%,35%,35%,35%,35%,34%,33%,32%,32%,30%,31%,29%,30%,29%,29%,28%,30%,26%,30%,26%,28%,26%,28%,26%,27%,25%,25%,23%,25%,24%,25%,23%,25%,23%,24%,21%,,,,,,,,,,,,,,,,,,,,,,
7/1/13,1213,77%,83%,71%,69%,64%,62%,55%,56%,51%,52%,50%,51%,48%,49%,46%,44%,45%,43%,43%,43%,43%,43%,43%,40%,40%,39%,39%,39%,39%,39%,38%,38%,38%,38%,36%,36%,35%,33%,33%,34%,33%,33%,33%,34%,32%,32%,32%,32%,32%,30%,31%,30%,30%,27%,28%,27%,27%,25%,28%,24%,27%,25%,,,,,,,,,,,,,,,,,,,,,,,
8/1/13,1217,78%,84%,69%,70%,61%,60%,55%,55%,51%,51%,49%,50%,48%,47%,44%,47%,42%,44%,42%,44%,42%,42%,39%,41%,38%,41%,38%,40%,37%,38%,38%,35%,37%,35%,34%,32%,32%,31%,31%,32%,31%,31%,31%,31%,30%,30%,30%,30%,29%,30%,29%,28%,27%,28%,25%,27%,27%,27%,26%,25%,24%,,,,,,,,,,,,,,,,,,,,,,,,
9/1/13,1382,76%,80%,68%,67%,57%,59%,54%,55%,51%,52%,48%,51%,46%,47%,44%,46%,42%,45%,43%,45%,43%,40%,41%,42%,42%,40%,40%,41%,40%,41%,37%,39%,36%,37%,35%,33%,33%,34%,32%,34%,31%,31%,32%,31%,29%,31%,29%,30%,27%,28%,28%,27%,28%,26%,27%,27%,27%,27%,25%,26%,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/13,2131,76%,81%,67%,65%,60%,60%,55%,57%,52%,53%,49%,49%,46%,47%,44%,44%,42%,45%,42%,44%,39%,43%,40%,42%,39%,40%,38%,39%,37%,38%,36%,37%,33%,34%,32%,33%,33%,34%,32%,32%,31%,32%,31%,30%,30%,29%,28%,28%,28%,26%,26%,26%,25%,26%,25%,26%,25%,25%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/13,2085,77%,80%,65%,63%,59%,58%,55%,55%,52%,52%,48%,48%,47%,47%,44%,44%,44%,44%,43%,40%,42%,42%,42%,40%,41%,38%,40%,39%,39%,37%,39%,35%,37%,34%,35%,34%,35%,33%,34%,33%,34%,32%,32%,31%,31%,30%,30%,29%,28%,27%,29%,27%,27%,27%,28%,26%,28%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/13,1996,70%,73%,62%,62%,56%,57%,54%,52%,50%,49%,47%,47%,45%,44%,42%,43%,41%,42%,38%,41%,38%,39%,38%,38%,37%,37%,36%,35%,34%,35%,33%,32%,31%,33%,31%,33%,31%,32%,31%,31%,30%,30%,30%,30%,30%,30%,29%,27%,26%,27%,26%,28%,26%,26%,26%,25%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/14,2764,75%,79%,69%,67%,62%,62%,57%,56%,52%,52%,49%,50%,46%,46%,45%,45%,44%,42%,42%,43%,41%,42%,40%,42%,39%,42%,38%,40%,36%,37%,34%,35%,33%,35%,33%,34%,33%,33%,32%,32%,31%,32%,30%,30%,30%,29%,29%,29%,29%,28%,29%,28%,27%,28%,27%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/14,2689,77%,82%,71%,70%,64%,64%,57%,57%,54%,54%,52%,50%,49%,49%,49%,47%,44%,45%,44%,44%,43%,42%,40%,41%,40%,40%,38%,39%,37%,36%,36%,35%,36%,36%,35%,35%,34%,33%,33%,32%,33%,30%,31%,30%,30%,28%,28%,28%,28%,28%,27%,27%,27%,26%,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/14,2876,77%,81%,70%,70%,63%,62%,57%,56%,53%,53%,50%,51%,48%,49%,46%,45%,45%,45%,44%,43%,40%,42%,41%,40%,39%,39%,38%,38%,36%,35%,36%,37%,34%,35%,33%,35%,32%,34%,31%,32%,30%,32%,30%,31%,28%,30%,29%,29%,28%,29%,28%,29%,27%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
