"scraping_id","listing","city","lon","lat","mapped_location","name","capacity","bathrooms","bedrooms","has_pool","cleaning_fee","is_superhost","host_name"
"209","https://www.airbnb.com/rooms/17418360","Scottsdale","-111.914828009181","33.5357363366713","https://maps.google.com/maps?q=33.53573633667133436,-111.91482800918082319","Luxury Resort Condo in Prime Scottsdale Location","8","2","3","1","175","1","Michael"
"210","https://www.airbnb.com/rooms/10790847","Scottsdale","-111.924613137749","33.5457806091515","https://maps.google.com/maps?q=33.54578060915151383,-111.92461313774856535","Amir'sAirbnbs-Golf Course Views-35%MonthlyDiscount","8","2","3","1","150","1","Amir"
"211","https://www.airbnb.com/rooms/9676011","Scottsdale","-111.912472117648","33.4606488479145","https://maps.google.com/maps?q=33.46064884791449856,-111.91247211764812164","Entire Home!  4 Bed Tempe/Old Town Scottsdale","10","2","4","1","60","1","Phillip"
"213","https://www.airbnb.com/rooms/15372298","Scottsdale","-111.905504379665","33.4943283464691","https://maps.google.com/maps?q=33.49432834646912482,-111.90550437966453501","Beautiful remodel in the heart of Scottsdale","7","2","3","0","150","0","Dennis"
"214","https://www.airbnb.com/rooms/14854894","Tempe","-111.917040444632","33.4420556679835","https://maps.google.com/maps?q=33.44205566798352436,-111.91704044463237722","3 Bedroom Condo Near ASU, Scottsdale, and Freeways","8","2.5","3","1","100","1","David"
"215","https://www.airbnb.com/rooms/17192271","Scottsdale","-111.952144747408","33.6280986751114","https://maps.google.com/maps?q=33.62809867511140993,-111.95214474740819810","Tri-level, two living areas & pool","10","3","4","1","165","0","Nick"
"216","https://www.airbnb.com/rooms/10525658","Scottsdale","-111.902748345233","33.5092696106067","https://maps.google.com/maps?q=33.50926961060674358,-111.90274834523322056","Beautiful 4BR Scottsdale Townhouse","8","2.5","4","1","150","1","Jude"
"217","https://www.airbnb.com/rooms/7774453","Phoenix","-112.000032825922","33.3375637051759","https://maps.google.com/maps?q=33.33756370517591705,-112.00003282592223286","Artsy modern pool  with hiking, guitars and  golf","14","3","4","1","150","0","Ron & Nadia"
"218","https://www.airbnb.com/rooms/18304742","Scottsdale","-111.904707626823","33.486428844766","https://maps.google.com/maps?q=33.48642884476601722,-111.90470762682302563","Quiet getaway minutes from Old Town","8","2","4","1","100","1","Aaron"
"219","https://www.airbnb.com/rooms/20479368","Phoenix","-112.043678215043","33.552485689","https://maps.google.com/maps?q=33.55248568899995831,-112.04367821504270353","Awesome Desert/Tuscan Home for 12-Central Locale","12","3","4","1","295","1","Paul"
"220","https://www.airbnb.com/rooms/17013604","Scottsdale","-111.895077395753","33.4816622522705","https://maps.google.com/maps?q=33.48166225227052450,-111.89507739575327605","Scottsdale Oasis: Great Location! Tons of Space!","8","2","4","1","150","1","Ashley"
"222","https://www.airbnb.com/rooms/20036710","Tempe","-111.89766657145","33.4216779535606","https://maps.google.com/maps?q=33.42167795356057525,-111.89766657145001716","Terrific Tempe Townhome is your Desert Dream!10ppl","10","3","3","1","150","0","Alexa"
"223","https://www.airbnb.com/rooms/19380443","Scottsdale","-111.916961602241","33.4979493508329","https://maps.google.com/maps?q=33.49794935083289005,-111.91696160224118728","Enjoy Southwestern Decor - Walkable to Old Town","6","2.5","3","1","125","1","Joyce & Jim"
"225","https://www.airbnb.com/rooms/20705523","Scottsdale","-111.930754644248","33.4893110318579","https://maps.google.com/maps?q=33.48931103185785929,-111.93075464424813958","New Townhome 5 Minute Walk to Old Town Scottsdale","8","3.5","3","1","215","0","Premier Vacation Rentals"
"226","https://www.airbnb.com/rooms/20902158","Phoenix","-112.007228493792","33.4997285904554","https://maps.google.com/maps?q=33.49972859045541185,-112.00722849379187096","Perfect Biltmore/Arcadia location.","6","2","3","1","150","0","Kathy"
"227","https://www.airbnb.com/rooms/19931646","Scottsdale","-111.924498133728","33.4738087227127","https://maps.google.com/maps?q=33.47380872271273233,-111.92449813372773804","3BD/2BA Oasis w/pool, Old Town Scottsdale","6","2","3","1","150","1","Sarah"
"228","https://www.airbnb.com/rooms/20036902","Scottsdale","-111.935034593441","33.4939941389943","https://maps.google.com/maps?q=33.49399413899429589,-111.93503459344138662","First Class on 1st Avenue - Old Town Scottsdale","6","2","3","0","120","1","Gwen"
"229","https://www.airbnb.com/rooms/15902555","Phoenix","-112.063585637231","33.4578556042922","https://maps.google.com/maps?q=33.45785560429215622,-112.06358563723050281","3 Bedroom 2 Bath near Stadium & Airport","8","2","3","0","65","1","Cindi And Derrick"
"230","https://www.airbnb.com/rooms/15266341","Scottsdale","-111.91039197846","33.4981653023302","https://maps.google.com/maps?q=33.49816530233023570,-111.91039197845978492","""Best Location"" in Old Town Scottsdale 3bed 2bath","6","2","3","1","200","1","Beverly"
"231","https://www.airbnb.com/rooms/16768864","Mesa","-111.878996569474","33.4270558939492","https://maps.google.com/maps?q=33.42705589394916643,-111.87899656947445237","MODERN LUXURY 3 bedroom condo - Tempe & Mesa!","6","2","3","1","140","1","Arizona"
"232","https://www.airbnb.com/rooms/17877778","Scottsdale","-111.903473725511","33.6386609908311","https://maps.google.com/maps?q=33.63866099083107741,-111.90347372551109117","TPC PARADISE (3 bedrooms plus 2 car garage!)","6","2","3","1","125","0","Jeremy"
"233","https://www.airbnb.com/rooms/9627391","Scottsdale","-111.897414025755","33.6393821064761","https://maps.google.com/maps?q=33.63938210647607008,-111.89741402575506868","Amazing 3Bedroom ON the TPC Golf Course Sleeps 8","8","2","3","1",(NULL),"0","SedonaJim"
"234","https://www.airbnb.com/rooms/4624746","Scottsdale","-111.88838502157","33.6057823285454","https://maps.google.com/maps?q=33.60578232854543046,-111.88838502157031485","Awesome Scottsdale Home with pool","8","3","4","1","175","0","Jeff"
"235","https://www.airbnb.com/rooms/16098573","Scottsdale","-111.921336","33.576966","https://maps.google.com/maps?q=33.57696600000000000,-111.92133600000000000","Scottsdale 4 bedrooms Hayden/Shea sleeps up to 15","12","2","4","0","45","0","Lexie"
"236","https://www.airbnb.com/rooms/2269147","Phoenix","-112.042515998552","33.5213449381957","https://maps.google.com/maps?q=33.52134493819569627,-112.04251599855226118","Charming French-Themed Biltmore House","6","2","3","1","95","0","Matt"
"237","https://www.airbnb.com/rooms/17736718","Scottsdale","-111.930475983258","33.4606182254848","https://maps.google.com/maps?q=33.46061822548482212,-111.93047598325806291","5 Star South Scottsdale Newly Remodeled Upscale","12","2.5","4","1","195","0","James"
"238","https://www.airbnb.com/rooms/10233510","Tempe","-111.904632615536","33.3671241011493","https://maps.google.com/maps?q=33.36712410114927252,-111.90463261553615837","4BR Tempe w/ pool, outdoor kitchen","10","2","4","1","175","1","Bob & Vickie"
