element_id,is mobile ( 1),CVR estimation 1 ,CVR estimation 2 
43258,,0.02983747,0.057
43258,1,0.01505345,0.0124
43336,,0.02983747,0.057
43336,1,0.01505345,0.0124
43356,,0.02983747,0.057
43356,1,0.01505345,0.0124
43404,,0.02983747,0.057
43404,1,0.01213735,0.0124
43405,,0.02983747,0.057
43405,1,0.01455392,0.0124
43482,,0.02983747,0.057
43482,1,0.01505345,0.0124
43545,,0.02983747,0.057
43545,1,0.01505345,0.0124
43593,,0.02983747,0.057
43593,1,0.01505345,0.0124
43642,,0.02983747,0.057
43642,1,0.01505345,0.0124
43690,,0.02983747,0.057
43690,1,0.01505345,0.0124
43719,,0.02983747,0.057
43719,1,0.01505345,0.0124
43721,,0.02983747,0.057
43721,1,0.01505345,0.0124
43786,,0.07627839,0.057
43786,1,0.01505345,0.0124
43791,,0.02983747,0.057
43791,1,0.01505345,0.0124
43812,,0.02983747,0.057
43812,1,0.01505345,0.0124
43840,,0.02983747,0.057
43840,1,0.01505345,0.0124
43862,,0.02983747,0.057
43862,1,0.01505345,0.0124
43899,,0.02983747,0.057
43899,1,0.01505345,0.0124
43903,,0.02983747,0.057
43903,1,0.01505345,0.0124
43921,,0.02983747,0.057
43921,1,0.01505345,0.0124
43924,,0.02983747,0.057
43924,1,0.01505345,0.0124
43943,,0.02983747,0.057
43943,1,0.01505345,0.0124
44024,,0.02983747,0.057
44024,1,0.01505345,0.0124
44026,,0.02983747,0.057
44026,1,0.01505345,0.0124
44055,,0.02983747,0.057
44055,1,0.01505345,0.0124
44056,,0.02983747,0.057
44056,1,0.01505345,0.0124
44072,,0.02983747,0.057
44072,1,0.01505345,0.0124
44299,,0.02983747,0.057
44299,1,0.01505345,0.0124
44365,,0.0268429,0.057
44365,1,0.0118105,0.0124
44368,,0.02902789,0.057
44368,1,0.01505345,0.0124
44369,,0.02983747,0.057
44369,1,0.01505345,0.0124
44370,,0.02983747,0.057
44370,1,0.01505345,0.0124
44375,,0.02983747,0.057
44375,1,0.01505345,0.0124
44389,,0.02983747,0.057
44389,1,0.01505345,0.0124
44396,,0.02983747,0.057
44396,1,0.01505345,0.0124
44443,,0.02983747,0.057
44443,1,0.01505345,0.0124
44492,,0.02983747,0.057
44492,1,0.01505345,0.0124
44526,,0.02983747,0.057
44526,1,0.01505345,0.0124
44570,,0.02983747,0.057
44570,1,0.01505345,0.0124
44640,,0.02983747,0.057
44640,1,0.01505345,0.0124
44673,,0.02983747,0.057
44673,1,0.01505345,0.0124
44691,,0.02983747,0.057
44691,1,0.01505345,0.0124
44731,,0.02983747,0.057
44731,1,0.01505345,0.0124
44893,,0.02983747,0.057
44893,1,0.01505345,0.0124
44903,,0.02983747,0.057
44903,1,0.01505345,0.0124
44931,,0.02983747,0.057
44931,1,0.01505345,0.0124
44943,,0.02902789,0.057
44943,1,0.01505345,0.0124
44987,,0.02983747,0.057
44987,1,0.01505345,0.0124
45001,,0.02983747,0.057
45001,1,0.01505345,0.0124
45028,,0.02826108,0.057
45028,1,0.01505345,0.0124
45051,,0.02983747,0.057
45051,1,0.01505345,0.0124
45086,,0.02902789,0.057
45086,1,0.01505345,0.0124
45377,,0.02983747,0.057
45377,1,0.01505345,0.0124
45422,,0.02983747,0.057
45422,1,0.01505345,0.0124
45489,,0.02983747,0.057
45489,1,0.01505345,0.0124
45502,,0.02983747,0.057
45502,1,0.01505345,0.0124
45519,,0.02983747,0.057
45519,1,0.01505345,0.0124
45605,,0.02983747,0.057
45605,1,0.01505345,0.0124
45623,,0.02983747,0.057
45623,1,0.01505345,0.0124
45676,,0.02902789,0.057
45676,1,0.01505345,0.0124
45744,,0.02983747,0.057
45744,1,0.01505345,0.0124
45749,,0.02983747,0.057
45749,1,0.01505345,0.0124
45782,,0.02983747,0.057
45782,1,0.01505345,0.0124
45885,,0.07692141,0.057
45885,1,0.01505345,0.0124
45887,,0.07692141,0.057
45887,1,0.02759335,0.0124
45897,,0.02983747,0.057
45897,1,0.01505345,0.0124
45907,,0.02983747,0.057
45907,1,0.01505345,0.0124
45961,,0.02983747,0.057
45961,1,0.01505345,0.0124
45979,,0.02902789,0.057
45979,1,0.01505345,0.0124
46020,,0.07692141,0.057
46020,1,0.01505345,0.0124
46162,,0.02983747,0.057
46162,1,0.01505345,0.0124
46170,,0.02983747,0.057
46170,1,0.01505345,0.0124
46184,,0.02983747,0.057
46184,1,0.01505345,0.0124
46202,,0.02983747,0.057
46202,1,0.01505345,0.0124
46227,,0.02983747,0.057
46227,1,0.01505345,0.0124
46228,,0.02983747,0.057
46228,1,0.01505345,0.0124
46231,,0.02983747,0.057
46231,1,0.01505345,0.0124
46301,,0.02983747,0.057
46301,1,0.01505345,0.0124
46392,,0.02902789,0.057
46392,1,0.01505345,0.0124
46409,,0.02983747,0.057
46409,1,0.01505345,0.0124
46448,,0.02983747,0.057
46448,1,0.01505345,0.0124
46582,,0.02983747,0.057
46582,1,0.01505345,0.0124
46599,,0.02983747,0.057
46599,1,0.01505345,0.0124
46613,,0.02983747,0.057
46613,1,0.01505345,0.0124
46675,,0.02983747,0.057
46675,1,0.01505345,0.0124
46694,,0.02983747,0.057
46694,1,0.01505345,0.0124
46704,,0.02983747,0.057
46704,1,0.01505345,0.0124
46735,,0.02983747,0.057
46735,1,0.01505345,0.0124
46746,,0.02983747,0.057
46746,1,0.01505345,0.0124
46783,,0.02983747,0.057
46783,1,0.01505345,0.0124
46786,,0.02983747,0.057
46786,1,0.01505345,0.0124
46801,,0.02983747,0.057
46801,1,0.01505345,0.0124
46804,,0.02983747,0.057
46804,1,0.01505345,0.0124
46805,,0.07692141,0.057
46805,1,0.01505345,0.0124
46845,,0.02983747,0.057
46845,1,0.01505345,0.0124
46875,,0.02983747,0.057
46875,1,0.01505345,0.0124
46950,,0.02983747,0.057
46950,1,0.01505345,0.0124
47142,,0.02983747,0.057
47142,1,0.01505345,0.0124
47200,,0.02983747,0.057
47200,1,0.01505345,0.0124
47227,,0.02983747,0.057
47227,1,0.01505345,0.0124
47300,,0.02983747,0.057
47300,1,0.01505345,0.0124
47395,,0.02983747,0.057
47395,1,0.01505345,0.0124
47493,,0.02983747,0.057
47493,1,0.01505345,0.0124
47507,,0.02983747,0.057
47507,1,0.01505345,0.0124
47509,,0.02983747,0.057
47509,1,0.01505345,0.0124
47571,,0.02902789,0.057
47571,1,0.01505345,0.0124
47688,,0.02983747,0.057
47688,1,0.01505345,0.0124
47694,,0.02983747,0.057
47694,1,0.01505345,0.0124
47809,,0.02826108,0.057
47809,1,0.01505345,0.0124
47826,,0.02983747,0.057
47826,1,0.01505345,0.0124
47829,,0.02902789,0.057
47829,1,0.01505345,0.0124
47830,,0.02983747,0.057
47830,1,0.01505345,0.0124
47868,,0.02983747,0.057
47868,1,0.01505345,0.0124
47871,,0.02902789,0.057
47871,1,0.01505345,0.0124
47879,,0.02983747,0.057
47879,1,0.01505345,0.0124
