"Number of daily deaths by local authority, England and Wales, deaths occurred in 2014 1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,March,3,4,4,5,5,0,4,4,0,3,2,4,5,2,3,2,1,3,10,1,5,1,2,3,1,0,2,3,1,5,2,
,April,5,3,4,4,7,1,1,6,3,5,5,1,1,3,2,2,2,4,3,8,4,3,3,2,1,0,2,2,5,1,0,
,May,1,1,0,1,2,2,2,3,3,1,1,0,3,1,3,2,5,2,0,0,2,3,8,2,3,3,2,4,5,4,0,
,June,3,3,4,3,3,5,4,3,3,2,1,2,2,1,4,1,4,2,4,2,2,4,3,3,2,4,0,3,3,1,0,
,July,0,5,4,2,3,2,1,0,2,2,5,0,5,1,4,2,1,6,5,4,4,2,2,2,2,3,3,2,5,2,2,
,August ,2,4,1,1,7,3,4,3,1,3,1,1,4,3,1,4,4,4,3,4,5,4,3,3,1,2,5,1,5,3,2,
,September,2,3,1,3,2,5,2,3,2,2,3,2,1,3,1,4,1,5,4,1,3,1,3,3,4,0,2,1,4,2,0,
,October,6,4,7,1,2,2,3,2,4,4,3,4,3,2,1,3,5,1,4,5,1,2,2,3,4,1,0,5,6,5,4,
,November,2,6,0,5,7,3,4,3,0,3,0,3,2,4,0,2,2,0,2,2,9,5,6,1,4,3,5,6,5,1,0,
,December,5,3,2,0,3,2,5,2,6,4,5,4,8,2,4,2,5,3,6,3,6,3,3,4,4,4,3,4,6,7,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aylesbury Vale                          ,January,4,4,7,8,4,3,7,4,5,2,3,4,3,4,4,4,3,3,4,5,3,1,2,5,7,4,7,2,2,5,2,
,February,3,3,4,12,3,5,4,4,5,5,6,4,4,7,4,4,8,2,3,7,2,3,3,3,2,3,6,3,0,0,0,
,March,3,1,5,7,6,2,1,5,4,3,2,4,1,6,3,5,7,7,2,4,4,5,2,3,0,4,1,2,2,0,3,
,April,2,3,5,2,4,4,5,0,7,4,2,1,1,4,1,4,1,4,5,2,6,6,5,6,4,7,1,5,4,3,0,
,May,2,4,2,1,4,3,1,4,5,6,4,3,5,6,5,6,4,3,2,1,2,4,1,2,5,9,4,4,6,0,2,
,June,2,3,4,4,5,4,8,4,4,7,2,5,4,5,4,5,1,3,2,2,4,2,3,3,3,4,3,3,5,3,0,
,July,3,6,2,4,5,4,2,4,6,2,0,2,0,3,4,3,5,4,5,7,3,4,6,6,5,0,3,2,3,2,1,
,August ,2,0,6,1,4,7,2,4,2,3,3,2,0,2,4,5,7,1,5,3,3,2,5,1,4,1,3,1,5,2,3,
